Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      6.11     0.00        6     0.00     0.00  std::vector<edge, std::allocator<edge> >::vector()
  0.00      6.11     0.00        6     0.00     0.00  unsigned long* std::__addressof<unsigned long>(unsigned long&)
  0.00      6.11     0.00        4     0.00     0.00  __gnu_cxx::new_allocator<point>::~new_allocator()
  0.00      6.11     0.00        4     0.00     0.00  __gnu_cxx::new_allocator<std::vector<edge, std::allocator<edge> > >::~new_allocator()
  0.00      6.11     0.00        4     0.00     0.00  __gnu_cxx::new_allocator<unsigned long>::~new_allocator()
  0.00      6.11     0.00        4     0.00     0.00  std::_Bvector_base<std::allocator<bool> >::_Bvector_impl::_M_end_addr() const
  0.00      6.11     0.00        4     0.00     0.00  std::_Iter_base<unsigned long*, false>::_S_base(unsigned long*)
  0.00      6.11     0.00        4     0.00     0.00  std::_Vector_base<point, std::allocator<point> >::_M_get_Tp_allocator()
  0.00      6.11     0.00        4     0.00     0.00  std::_Vector_base<std::vector<edge, std::allocator<edge> >, std::allocator<std::vector<edge, std::allocator<edge> > > >::_M_get_Tp_allocator()
  0.00      6.11     0.00        4     0.00     0.00  std::_Bit_iterator::_Bit_iterator()
  0.00      6.11     0.00        4     0.00     0.00  std::_Bvector_base<std::allocator<bool> >::_S_nword(unsigned long)
  0.00      6.11     0.00        4     0.00     0.00  std::_Niter_base<unsigned long*>::iterator_type std::__niter_base<unsigned long*>(unsigned long*)
  0.00      6.11     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<point>::deallocate(point*, unsigned long)
  0.00      6.11     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<point>::allocate(unsigned long, void const*)
  0.00      6.11     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<point>::new_allocator(__gnu_cxx::new_allocator<point> const&)
  0.00      6.11     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<point>::new_allocator()
  0.00      6.11     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<std::vector<edge, std::allocator<edge> > >::deallocate(std::vector<edge, std::allocator<edge> >*, unsigned long)
  0.00      6.11     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<std::vector<edge, std::allocator<edge> > >::allocate(unsigned long, void const*)
  0.00      6.11     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<std::vector<edge, std::allocator<edge> > >::new_allocator(__gnu_cxx::new_allocator<std::vector<edge, std::allocator<edge> > > const&)
  0.00      6.11     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<std::vector<edge, std::allocator<edge> > >::new_allocator()
  0.00      6.11     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<bool>::new_allocator()
  0.00      6.11     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<bool>::~new_allocator()
  0.00      6.11     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<unsigned long>::deallocate(unsigned long*, unsigned long)
  0.00      6.11     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<unsigned long>::allocate(unsigned long, void const*)
  0.00      6.11     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<unsigned long>::new_allocator(__gnu_cxx::new_allocator<unsigned long> const&)
  0.00      6.11     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<unsigned long>::new_allocator()
  0.00      6.11     0.00        2     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<point> >::deallocate(std::allocator<point>&, point*, unsigned long)
  0.00      6.11     0.00        2     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<point> >::allocate(std::allocator<point>&, unsigned long)
  0.00      6.11     0.00        2     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<std::vector<edge, std::allocator<edge> > > >::deallocate(std::allocator<std::vector<edge, std::allocator<edge> > >&, std::vector<edge, std::allocator<edge> >*, unsigned long)
  0.00      6.11     0.00        2     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<std::vector<edge, std::allocator<edge> > > >::allocate(std::allocator<std::vector<edge, std::allocator<edge> > >&, unsigned long)
  0.00      6.11     0.00        2     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<unsigned long> >::deallocate(std::allocator<unsigned long>&, unsigned long*, unsigned long)
  0.00      6.11     0.00        2     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<unsigned long> >::allocate(std::allocator<unsigned long>&, unsigned long)
  0.00      6.11     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<point>::max_size() const
  0.00      6.11     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<std::vector<edge, std::allocator<edge> > >::max_size() const
  0.00      6.11     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<unsigned long>::max_size() const
  0.00      6.11     0.00        2     0.00     0.00  std::_Bit_iterator::operator+(long) const
  0.00      6.11     0.00        2     0.00     0.00  std::vector<point, std::allocator<point> >::size() const
  0.00      6.11     0.00        2     0.00     0.00  std::allocator<point>::allocator()
  0.00      6.11     0.00        2     0.00     0.00  std::allocator<point>::allocator(std::allocator<point> const&)
  0.00      6.11     0.00        2     0.00     0.00  std::allocator<point>::~allocator()
  0.00      6.11     0.00        2     0.00     0.00  std::allocator<point>::~allocator()
  0.00      6.11     0.00        2     0.00     0.00  std::allocator<std::vector<edge, std::allocator<edge> > >::allocator()
  0.00      6.11     0.00        2     0.00     0.00  std::allocator<std::vector<edge, std::allocator<edge> > >::allocator(std::allocator<std::vector<edge, std::allocator<edge> > > const&)
  0.00      6.11     0.00        2     0.00     0.00  std::allocator<std::vector<edge, std::allocator<edge> > >::~allocator()
  0.00      6.11     0.00        2     0.00     0.00  std::allocator<std::vector<edge, std::allocator<edge> > >::~allocator()
  0.00      6.11     0.00        2     0.00     0.00  std::allocator<bool>::allocator()
